bill_id,state,bill_number,year,session_title,status_desc,status_date,last_action_date,last_action,committee,direction_heuristic,title,description,url
912656,MS,SB2224,2017,2017 Regular Session,In Senate Committee,2017-01-31,2017-01-31,Died In Committee,,opens,"Open primary elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2224/2017
899269,MS,HB367,2017,2017 Regular Session,In House Committee,2017-01-31,2017-01-31,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB367/2017
1048437,MS,SB2125,2018,2018 Regular Session,In Senate Committee,2018-01-30,2018-01-30,Died In Committee,,opens,"Open primary elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2125/2018
1057549,MS,HB921,2018,2018 Regular Session,In House Committee,2018-01-30,2018-01-30,Died In Committee,,opens,Open primaries elections; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB921/2018
1045748,MS,HB336,2018,2018 Regular Session,In House Committee,2018-01-30,2018-01-30,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB336/2018
1141253,MS,SB2073,2019,2019 Regular Session,In Senate Committee,2019-02-05,2019-02-05,Died In Committee,,opens,"Open primary elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2073/2019
1165728,MS,HB1003,2019,2019 Regular Session,In House Committee,2019-02-05,2019-02-05,Died In Committee,,opens,Open primaries elections; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB1003/2019
1147819,MS,SB2085,2019,2019 Regular Session,In Senate Committee,2019-02-05,2019-02-05,Died In Committee,,opens,"Open primary elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2085/2019
1165947,MS,HB1002,2019,2019 Regular Session,In House Committee,2019-02-05,2019-02-05,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB1002/2019
1341509,MS,HB995,2020,2020 Regular Session,In House Committee,2020-03-03,2020-03-03,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB995/2020
1347003,MS,HC46,2020,2020 Regular Session,In House Committee,2020-03-03,2020-03-03,Died In Committee,,opens,"Constitution; amend to provide that there will be open primaries for the election of county offices, justice court judges and district attor","A Concurrent Resolution Proposing Amendments To Sections 138, 171 And 174, Mississippi Constitution Of 1890, To Provide That There Will Be No Party Primaries For The Election Of County Offices, Justic",https://legiscan.com/MS/bill/HC46/2020
1346739,MS,HB1400,2020,2020 Regular Session,In House Committee,2020-03-03,2020-03-03,Died In Committee,,opens,Partisan primary elections; abolish and establish open primary elections.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB1400/2020
1411042,MS,HB723,2021,2021 Regular Session,In House Committee,2021-02-02,2021-02-02,Died In Committee,,opens,Partisan primary elections; abolish and establish open primary elections.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB723/2021
1544710,MS,HB243,2022,2022 Regular Session,In House Committee,2022-02-01,2022-02-01,Died In Committee,,opens,Partisan primary elections; abolish and establish open primary elections.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB243/2022
2089889,MS,SB2592,2026,2026 Regular Session,In Senate Committee,2026-02-03,2026-02-03,Died In Committee,,closes,Statewide Primary Elections; provide for closed primaries beginning in 2027.,An Act To Provide That Only Registered Voters Affiliated With A Political Party May Vote In The Party's Primary Election; To Provide That Registered Voters Not Affiliated With A Political Party May Vo,https://legiscan.com/MS/bill/SB2592/2026
540243,MT,SB408,2013,2013 Regular Session,Passed,2013-04-23,2013-04-23,Chapter Number Assigned,,opens,Referendum to provide top two primary in certain elections,Referendum to provide top two primary in certain elections,https://legiscan.com/MT/bill/SB408/2013
492287,MT,HB436,2013,2013 Regular Session,In House Committee,2013-04-24,2013-04-24,(H) Died in Standing Committee (H) State Administration,,opens,Providing top two primary in certain elections,Providing top two primary in certain elections,https://legiscan.com/MT/bill/HB436/2013
1748738,MT,SB566,2023,2023 Regular Session,In House Committee,2023-05-08,2023-05-08,(H) Died in Standing Committee,,opens,Require top two primary for U.S. Senate races,Require top two primary for U.S. Senate races,https://legiscan.com/MT/bill/SB566/2023
2017229,MT,SB562,2025,2025 Regular Session,Failed,2025-05-23,2025-05-23,(S) Died in Process,,opens,Require top two primary for certain offices,Require top two primary for certain offices,https://legiscan.com/MT/bill/SB562/2025
1005212,NC,H737,2017,2017-2018 Regular Session,House Floor Calendar,2017-04-11,2017-04-13,"Ref To Com On Rules, Calendar, and Operations of the House","Rules, Calendar, and Operations of the House",opens,Open Primary Act,Open Primary Act,https://legiscan.com/NC/bill/H737/2017
1254501,NC,H994,2019,2019-2020 Regular Session,House Floor Calendar,2019-04-25,2019-04-26,"Ref to the Com on Elections and Ethics Law, if favorable, Appropriations, General Government, if favorable, Rules, Calendar, and Operations ",Elections and Ethics Law,opens,Top Four Open Primary/Elections,Top Four Open Primary/Elections,https://legiscan.com/NC/bill/H994/2019
580343,NE,LB773,2014,2013 Regular Session,Introduced,2014-01-09,2014-04-17,Indefinitely postponed,,opens,Provide for partisan ballots for unaffiliated voters at primary elections,Provide for partisan ballots for unaffiliated voters at primary elections,https://legiscan.com/NE/bill/LB773/2013
674744,NE,LB202,2015,2015 Regular Session,Introduced,2015-01-13,2016-04-20,Indefinitely postponed,,opens,Provide for partisan ballots for unaffiliated voters at primary elections,Provide for partisan ballots for unaffiliated voters at primary elections,https://legiscan.com/NE/bill/LB202/2015
376080,NM,HJR19,2012,2012 Regular Session,Introduced,2012-01-19,2012-01-19,[LD 3] Action postponed indefinitely,,opens,"Unaffiliated voters in primary election, ca","Unaffiliated voters in primary election, ca",https://legiscan.com/NM/bill/HJR19/2012
730657,NM,SB650,2015,2015 Regular Session,Introduced,2015-02-02,2015-02-02,[LD 10] Action postponed indefinitely,,opens,Allow open primary elections,Allow open primary elections,https://legiscan.com/NM/bill/SB650/2015
824412,NM,HJR12,2016,2016 Regular Session,Introduced,2016-01-20,2016-01-23,[LD 5] Action postponed indefinitely,,opens,"Open Primary Elections, Ca","Open Primary Elections, Ca",https://legiscan.com/NM/bill/HJR12/2016
927849,NM,HJR6,2017,2017 Regular Session,Introduced,2017-01-19,2017-01-19,[LD 3] HLELC,"Local Government, Elections, Land Grants & Cultural Affairs",opens,"Top Two Candidates Open Primary Elections, Ca","Top Two Candidates Open Primary Elections, Ca",https://legiscan.com/NM/bill/HJR6/2017
927816,NM,HB206,2017,2017 Regular Session,In House Committee,2017-01-19,2017-01-22,[LD 6] Referred to House Judiciary,Judiciary,opens,Unaffiliated Voters In Primary Elections,Unaffiliated Voters In Primary Elections,https://legiscan.com/NM/bill/HB206/2017
934685,NM,SB205,2017,2017 Regular Session,In Senate Committee,2017-01-20,2017-02-03,[LD 18] Referred to Senate Judiciary,Judiciary,opens,Unaffiliated Voters In Primary Elections,Unaffiliated Voters In Primary Elections,https://legiscan.com/NM/bill/SB205/2017
1307723,NM,SM12,2020,2020 Regular Session,Introduced,2020-01-21,2020-02-07,Action Postponed Indefinitely,,opens,Recommendations For Open Primary Elections,Recommendations For Open Primary Elections,https://legiscan.com/NM/bill/SM12/2020
1302917,NM,HJR3,2020,2020 Regular Session,Introduced,2020-01-21,2020-01-30,Action Postponed Indefinitely,,opens,Open Primaries For Unaffiliated Voters Ca,Open Primaries For Unaffiliated Voters Ca,https://legiscan.com/NM/bill/HJR3/2020
1562140,NM,SJR1,2022,2022 Regular Session,Introduced,2022-01-18,2022-01-18,Action Postponed Indefinitely,,opens,"Nonpartisan Open Primary Elections, Ca","Nonpartisan Open Primary Elections, Ca",https://legiscan.com/NM/bill/SJR1/2022
1651975,NM,HB54,2023,2023 Regular Session,In House Committee,2023-01-17,2023-01-30,HGEIC: Reported by committee with Do Pass recommendation with amendment(s),Judiciary,opens,Ballot Requests For Open Primary Elections,Ballot Requests For Open Primary Elections,https://legiscan.com/NM/bill/HB54/2023
1676479,NM,SB175,2023,2023 Regular Session,Introduced,2023-01-23,2023-01-23,Sent to SRC - Referrals: SRC/SJC,Rules,opens,Open Primary Elections,Open Primary Elections,https://legiscan.com/NM/bill/SB175/2023
1678559,NM,SJR7,2023,2023 Regular Session,Introduced,2023-01-24,2023-01-24,Sent to SRC - Referrals: SRC/SJC,Rules,opens,"Open Primaries & Ranked Choice Voting, Ca","Open Primaries & Ranked Choice Voting, Ca",https://legiscan.com/NM/bill/SJR7/2023
1696633,NM,HJR12,2023,2023 Regular Session,Introduced,2023-02-06,2023-02-06,Sent to HGEIC - Referrals: HGEIC/HJC,"Government, Elections & Indian Affairs",opens,"Open Primary Elections, Ca","Open Primary Elections, Ca",https://legiscan.com/NM/bill/HJR12/2023
1974109,NM,SJR13,2025,2025 Regular Session,Introduced,2025-02-18,2025-02-18,Sent to SRC - Referrals: SRC/SJC,Rules,opens,"Open Primary Elections, Ca","Open Primary Elections, Ca",https://legiscan.com/NM/bill/SJR13/2025
634822,NY,A08985,2014,2013-2014 Regular Session,In Assembly Committee,2014-03-06,2014-03-21,opinion referred to judiciary,Judiciary,opens,Establishes an open primary system for all state and congressional elections.,Establishes an open primary system for all state and congressional elections.,https://legiscan.com/NY/bill/A08985/2013
777041,NY,A07379,2015,2015-2016 Regular Session,In Assembly Committee,2015-05-06,2016-02-05,opinion referred to judiciary,Judiciary,opens,Establishes an open primary system for all state and congressional elections.,Establishes an open primary system for all state and congressional elections.,https://legiscan.com/NY/bill/A07379/2015
876239,NY,A10008,2016,2015-2016 Regular Session,In Assembly Committee,2016-05-04,2016-05-04,referred to election law,Election Law,closes,"Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered vot","Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered voter"" and ""written notice"" and sets out what information the b",https://legiscan.com/NY/bill/A10008/2015
901884,NY,A00590,2017,2017-2018 Regular Session,In Assembly Committee,2017-01-09,2018-01-03,referred to election law,Election Law,closes,"Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered vot","Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered voter"" and ""written notice"" and sets out what information the b",https://legiscan.com/NY/bill/A00590/2017
979074,NY,S04780,2017,2017-2018 Regular Session,Introduced,2017-03-01,2017-06-15,PRINT NUMBER 4780B,Elections,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/S04780/2017
1007664,NY,A07309,2017,2017-2018 Regular Session,In Assembly Committee,2017-04-21,2018-01-31,opinion referred to judiciary,Judiciary,opens,Establishes an open primary system for all state and congressional elections.,Establishes an open primary system for all state and congressional elections.,https://legiscan.com/NY/bill/A07309/2017
960828,NY,A05735,2017,2017-2018 Regular Session,Assembly Floor Calendar,2017-06-19,2018-01-03,ordered to third reading cal.404,,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/A05735/2017
1035264,NY,S07014,2018,2017-2018 Regular Session,In Senate Committee,2018-01-03,2018-01-03,REFERRED TO ELECTIONS,Elections,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/S07014/2017
1139384,NY,A00554,2019,2019-2020 Regular Session,In Assembly Committee,2019-01-09,2020-01-08,referred to election law,Election Law,closes,"Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered vot","Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered voter"" and ""written notice"" and sets out what information the b",https://legiscan.com/NY/bill/A00554/2019
1178741,NY,A03504,2019,2019-2020 Regular Session,In Assembly Committee,2019-01-29,2020-01-08,referred to election law,Election Law,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/A03504/2019
1265156,NY,A07934,2019,2019-2020 Regular Session,In Assembly Committee,2019-05-28,2020-02-14,opinion referred to judiciary,Judiciary,opens,Establishes an open primary system for all state and congressional elections.,Establishes an open primary system for all state and congressional elections.,https://legiscan.com/NY/bill/A07934/2019
1138047,NY,S00496,2019,2019-2020 Regular Session,Stricken,2019-06-03,2020-01-09,"RECOMMIT, ENACTING CLAUSE STRICKEN",,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/S00496/2019
1391480,NY,A00908,2021,2021-2022 Regular Session,In Assembly Committee,2021-01-06,2022-01-05,referred to election law,Election Law,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/A00908/2021
1431566,NY,A04162,2021,2021-2022 Regular Session,In Assembly Committee,2021-02-01,2022-01-05,referred to election law,Election Law,closes,"Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered vot","Relates to providing timely written notice of closed primary party rules to newly registered voters; defines the terms ""newly registered voter"" and ""written notice"" and sets out what information the b",https://legiscan.com/NY/bill/A04162/2021
1538201,NY,A08512,2021,2021-2022 Regular Session,In Assembly Committee,2021-12-13,2022-01-05,referred to election law,Election Law,opens,Establishes a ranked choice voting method for nonpartisan primary elections.,Establishes a ranked choice voting method for nonpartisan primary elections.,https://legiscan.com/NY/bill/A08512/2021
1646673,NY,A00479,2023,2023-2024 Regular Session,In Assembly Committee,2023-01-09,2024-01-03,referred to election law,Election Law,opens,Establishes a ranked choice voting method for nonpartisan primary elections.,Establishes a ranked choice voting method for nonpartisan primary elections.,https://legiscan.com/NY/bill/A00479/2023
1688230,NY,S03465,2023,2023-2024 Regular Session,In Senate Committee,2023-01-31,2024-01-03,REFERRED TO ELECTIONS,Elections,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/S03465/2023
1898606,NY,A00090,2025,2025-2026 Regular Session,In Assembly Committee,2025-01-08,2026-01-07,referred to election law,Election Law,opens,Establishes a ranked choice voting method for nonpartisan primary elections.,Establishes a ranked choice voting method for nonpartisan primary elections.,https://legiscan.com/NY/bill/A00090/2025
1944476,NY,S03596,2025,2025-2026 Regular Session,In Senate Committee,2025-01-28,2026-01-07,REFERRED TO ELECTIONS,Elections,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/S03596/2025
2027723,NY,A08126,2025,2025-2026 Regular Session,Stricken,2025-05-01,2026-01-05,enacting clause stricken,Assembly Election Law,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/A08126/2025
2025000090,NY,A90,2026,,In Assembly Committee,2026-01-07,2026-01-07,In Assembly Committee,Election Law,opens,Establishes a ranked choice voting method for nonpartisan primary elections,Establishes a ranked choice voting method for nonpartisan primary elections.,https://legislation.nysenate.gov/api/3/bills/2025/A90
2148830,NY,A11288,2026,2025-2026 Regular Session,In Assembly Committee,2026-05-08,2026-05-08,referred to election law,Election Law,closes,Provides voters with a warning about New York's closed primary system on voter registration forms.,Provides voters with a warning about New York's closed primary system on voter registration forms.,https://legiscan.com/NY/bill/A11288/2025
2136065,OH,SB382,2026,2025-2026 Regular Session,In Senate Committee,2026-03-19,2026-03-25,Referred to committee: General Government,General Government,opens,Implement a top-two primary election system,"To amend sections 111.27, 3501.01, 3501.06, 3501.23, 3505.03, 3505.04, 3509.03, 3509.04, 3511.02, 3511.05, 3513.01, 3513.02, 3513.04, 3513.05, 3513.052, 3513.07, 3513.13, 3513.14, 3513.19, 3513.20, 35",https://legiscan.com/OH/bill/SB382/2025
259353,OK,HB1013,2011,2011 Regular Session,In Senate Committee,2011-02-07,2011-02-08,Second Reading referred to Rules,Rules,opens,Elections; opening primaries to voters of other parties and Independent voters; effective date.,Elections; opening primaries to voters of other parties and Independent voters; effective date.,https://legiscan.com/OK/bill/HB1013/2011
362296,OK,HB1013,2011,2012 Regular Session,In Senate Committee,2011-02-07,2011-02-08,Second Reading referred to Rules,Rules,opens,Elections; opening primaries to voters of other parties and Independent voters; effective date.,Elections; opening primaries to voters of other parties and Independent voters; effective date.,https://legiscan.com/OK/bill/HB1013/2012
2048611,OK,HB1712,2025,2026 Regular Session,In House Committee,2025-02-03,2025-02-04,Referred to Elections and Ethics,Elections and Ethics,closes,Elections; closed primaries; political party; paying cost; open primaries; effective date.,Elections; closed primaries; political party; paying cost; open primaries; effective date.,https://legiscan.com/OK/bill/HB1712/2026
1922844,OK,SB834,2025,2025 Regular Session,Introduced,2025-02-03,2025-02-05,Coauthored by Representative Gann (principal House author),Judiciary,closes,Elections; prohibiting the use of open primaries; declaring certain ordinances and elections void. Effective date.,Elections; prohibiting the use of open primaries; declaring certain ordinances and elections void. Effective date.,https://legiscan.com/OK/bill/SB834/2025
2050578,OK,SB834,2025,2026 Regular Session,Introduced,2025-02-03,2025-02-05,Coauthored by Representative Gann (principal House author),Judiciary,closes,Elections; prohibiting the use of open primaries; declaring certain ordinances and elections void. Effective date.,Elections; prohibiting the use of open primaries; declaring certain ordinances and elections void. Effective date.,https://legiscan.com/OK/bill/SB834/2026
1923757,OK,HB1712,2025,2025 Regular Session,In House Committee,2025-02-03,2025-02-04,Referred to Elections and Ethics,Elections and Ethics,closes,Elections; closed primaries; political party; paying cost; open primaries; effective date.,Elections; closed primaries; political party; paying cost; open primaries; effective date.,https://legiscan.com/OK/bill/HB1712/2025
1351324,RI,H7913,2020,2020 Regular Session,In House Committee,2020-02-26,2020-02-26,"Introduced, referred to House Judiciary",Judiciary,unclear,House Resolution Respectfully Requesting The Secretary Of State To Evaluate The Feasibility And Provide Recommendations For Necessary Regula,House Resolution Respectfully Requesting The Secretary Of State To Evaluate The Feasibility And Provide Recommendations For Necessary Regulations/statues/legislation To Implement Instant-runoff Voting,https://legiscan.com/RI/bill/H7913/2020
1353060,RI,S2701,2020,2020 Regular Session,In Senate Committee,2020-02-27,2020-02-27,"Introduced, referred to Senate Judiciary",Judiciary,study,"Joint Resolution Creating A Special Legislative Commission To Evaluate And Provide Recommendations On The Merits Of Establishing A ""top Two ","Joint Resolution Creating A Special Legislative Commission To Evaluate And Provide Recommendations On The Merits Of Establishing A ""top Two Open Primary"" In The State Of Rhode Island (create An 11 Mem",https://legiscan.com/RI/bill/S2701/2020
1637414,SC,H3161,2023,2023-2024 Regular Session,Introduced,2023-01-10,2024-02-06,"Member(s) request name added as sponsor: White, McCabe, Oremus, Forrest, Magnuson, Harris, Brittain, Bustos",Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H3161/2023
1655941,SC,H3685,2023,2023-2024 Regular Session,Introduced,2023-01-12,2023-05-03,Member(s) request name added as sponsor: Kilmartin,Judiciary,closes,Closed primaries,"Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To, Among Other Things, Provide That Only An Elector Registered As A Member Of A Certified Political Party May Vote In That Party'",https://legiscan.com/SC/bill/H3685/2023
1760703,SC,S0767,2023,2023-2024 Regular Session,In Senate Committee,2023-05-02,2023-05-02,Referred to Committee on Judiciary,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/S0767/2023
1895647,SC,H3310,2025,2025-2026 Regular Session,Introduced,2025-01-14,2026-04-29,Member(s) request name added as sponsor: Crawford,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H3310/2025
1896554,SC,H3640,2025,2025-2026 Regular Session,In House Committee,2025-01-14,2025-01-14,Referred to Committee on Judiciary,Judiciary,opens,Blanket primaries,"Amend The South Carolina Code Of Laws By Adding Section 7-11-5 So As To Require Primary Elections For County, State, And Federal Offices, Except For President And Vice President, To Be Conducted As No",https://legiscan.com/SC/bill/H3640/2025
2029170,SC,H4520,2025,2025-2026 Regular Session,In House Committee,2025-05-06,2025-05-06,Referred to Committee on Judiciary,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-172 So As To Require Voter Registration To Include Party Affiliation; By Adding Section 7-13-17 So As To Require The Conducting Of Closed Pr,https://legiscan.com/SC/bill/H4520/2025
2115529,SC,H5183,2026,2025-2026 Regular Session,Introduced,2026-02-12,2026-04-15,Member(s) request name added as sponsor: Lastinger,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5183/2025
2129151,SC,H5317,2026,2025-2026 Regular Session,In House Committee,2026-03-04,2026-03-04,Referred to Committee on Judiciary,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5317/2025
2129814,SC,H5330,2026,2025-2026 Regular Session,Introduced,2026-03-05,2026-04-15,"Member(s) request name added as sponsor: Terribile, D.Mitchell, Burns, Huff, Lastinger, Beach",Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5330/2025
2129996,SC,H5327,2026,2025-2026 Regular Session,Introduced,2026-03-05,2026-04-15,"Member(s) request name added as sponsor: D.Mitchell, Burns, Huff, Lastinger, Beach",Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5327/2025
2132255,SC,H5359,2026,2025-2026 Regular Session,In House Committee,2026-03-11,2026-03-11,Referred to Committee on Judiciary,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5359/2025
2132234,SC,H5361,2026,2025-2026 Regular Session,Introduced,2026-03-11,2026-04-15,Member(s) request name added as sponsor: Terribile,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5361/2025
2132279,SC,H5358,2026,2025-2026 Regular Session,In House Committee,2026-03-11,2026-03-11,Referred to Committee on Judiciary,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5358/2025
2132250,SC,H5355,2026,2025-2026 Regular Session,Introduced,2026-03-11,2026-04-15,"Member(s) request name added as sponsor: Terribile, Burns",Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5355/2025
2132200,SC,H5356,2026,2025-2026 Regular Session,Introduced,2026-03-11,2026-04-15,"Member(s) request name added as sponsor: Lastinger, Beach",Judiciary,closes,Closed primaries,"Amend The South Carolina Code Of Laws By Enacting The ""south Carolina Voter Integrity Party Primaries Act"" By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan",https://legiscan.com/SC/bill/H5356/2025
2138634,SC,H5447,2026,2025-2026 Regular Session,In House Committee,2026-03-26,2026-03-26,Referred to Committee on Judiciary,Judiciary,closes,Closed primaries,Amend The South Carolina Code Of Laws By Adding Section 7-5-115 So As To Provide That A Person Is Not Allowed To Vote In A Partisan Primary Election Or Partisan Advisory Referendum Unless The Person H,https://legiscan.com/SC/bill/H5447/2025
182444,SD,HB1054,2010,2010 Regular Session,Signed by Governor,2010-03-29,2010-03-29,Signed by Governor H.J. 860,,opens,Provide independent voters voting absentee the appropriate ballot during a primary election and to declare an emergency.,Provide independent voters voting absentee the appropriate ballot during a primary election and to declare an emergency.,https://legiscan.com/SD/bill/HB1054/2010
248822,SD,SB175,2011,2011 Regular Session,Senate Floor Calendar,2011-01-31,2011-02-17,No motion to place on calendar S.J. 467,,opens,Provide for the participation of independent voters in primary elections.,Provide for the participation of independent voters in primary elections.,https://legiscan.com/SD/bill/SB175/2011
1688190,TN,SB1144,2023,2023-2024 Regular Session,In Senate Committee,2023-01-31,2023-02-06,"Passed on Second Consideration, refer to Senate State and Local Government Committee",State and Local Government,opens,"AN ACT to amend Tennessee Code Annotated, Title 2, relative to political party registration.","As introduced, requires each voter to declare a political party affiliation or that the voter is unaffiliated with a political party on voter registration; authorizes political parties to allow unaffi",https://legiscan.com/TN/bill/SB1144/2023
1687462,TN,HB1045,2023,2023-2024 Regular Session,Failed,2023-03-07,2023-03-21,Sponsor(s) Added.,,opens,"AN ACT to amend Tennessee Code Annotated, Title 2, relative to political party registration.","As introduced, requires each voter to declare a political party affiliation or that the voter is unaffiliated with a political party on voter registration; authorizes political parties to allow unaffi",https://legiscan.com/TN/bill/HB1045/2023
