bill_id,state,bill_number,year,session_title,status_desc,status_date,last_action_date,last_action,committee,direction_heuristic,title,description,url
743682,ME,LD720,2015,2015-2016 Regular Session,Failed,2015-04-16,2015-04-16,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),,opens,An Act To Establish an Open Primary System in the State,An Act To Establish an Open Primary System in the State,https://legiscan.com/ME/bill/LD720/2015
905817,ME,LD78,2017,2017-2018 Regular Session,Failed,2017-05-17,2017-05-17,Placed in Legislative Files (DEAD),,opens,An Act To Permit Unenrolled Voters To Cast Ballots in Primary Elections,An Act To Permit Unenrolled Voters To Cast Ballots in Primary Elections,https://legiscan.com/ME/bill/LD78/2017
993670,ME,LD1086,2017,2017-2018 Regular Session,Failed,2017-06-21,2017-06-21,Placed in Legislative Files (DEAD),,opens,An Act To Amend the Laws on the Conduct of Elections and To Establish a Nonpartisan Primary Election System for State and Federal Candidates,An Act To Amend the Laws on the Conduct of Elections and To Establish a Nonpartisan Primary Election System for State and Federal Candidates,https://legiscan.com/ME/bill/LD1086/2017
1161320,ME,LD211,2019,2019-2020 Regular Session,Failed,2019-05-28,2019-05-28,Placed in Legislative Files (DEAD),,opens,An Act To Open Maine's Primaries and Permit Unenrolled Voters To Cast Ballots in Primary Elections,An Act To Open Maine's Primaries and Permit Unenrolled Voters To Cast Ballots in Primary Elections,https://legiscan.com/ME/bill/LD211/2019
1152670,ME,LD114,2019,2019-2020 Regular Session,Failed,2019-05-28,2019-05-28,Placed in Legislative Files (DEAD),,opens,An Act To Establish Open Primaries for Certain Federal and State Offices,An Act To Establish Open Primaries for Certain Federal and State Offices,https://legiscan.com/ME/bill/LD114/2019
1431658,ME,LD303,2021,2021-2022 Regular Session,Failed,2021-06-02,2021-06-02,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),,opens,An Act To Establish Semi-open Primary Elections To Allow Unenrolled Voters To Participate,An Act To Establish Semi-open Primary Elections To Allow Unenrolled Voters To Participate,https://legiscan.com/ME/bill/LD303/2021
1427348,ME,LD231,2022,2021-2022 Regular Session,Passed,2022-04-25,2022-04-25,"PASSED TO BE ENACTED, in concurrence.",,opens,An Act To Establish Open Primaries,An Act To Establish Open Primaries,https://legiscan.com/ME/bill/LD231/2021
1745708,ME,LD1320,2023,2023-2024 Regular Session,Failed,2023-05-25,2023-05-25,Placed in the Legislative Files. (DEAD),,opens,An Act to Improve Signature Requirements for Candidates by Allowing Unenrolled Voters to Sign Petitions for Party Candidates,An Act to Improve Signature Requirements for Candidates by Allowing Unenrolled Voters to Sign Petitions for Party Candidates,https://legiscan.com/ME/bill/LD1320/2023
1765128,ME,LD1959,2024,2023-2024 Regular Session,Failed,2024-04-02,2024-04-02,Placed in the Legislative Files. (DEAD),,opens,An Act Regarding Open Primary Elections and Ranked-choice Voting,An Act Regarding Open Primary Elections and Ranked-choice Voting,https://legiscan.com/ME/bill/LD1959/2023
2017432,ME,LD1422,2025,2025-2026 Regular Session,Failed,2025-05-14,2025-05-14,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),,opens,An Act Regarding Open Primary Elections and Ranked-choice Voting,An Act Regarding Open Primary Elections and Ranked-choice Voting,https://legiscan.com/ME/bill/LD1422/2025
660183,MI,HB5956,2014,2013-2014 Regular Session,Introduced,2014-11-13,2014-12-02,Printed Bill Filed 11/14/2014,Elections And Ethics,closes,"Elections; primary; closed primaries; require. Amends secs. 495, 500a, 509q, 509gg, 523, 570 & 576 of 1954 PA 116 (MCL 168.495 et seq.); add","Elections; primary; closed primaries; require. Amends secs. 495, 500a, 509q, 509gg, 523, 570 & 576 of 1954 PA 116 (MCL 168.495 et seq.); adds sec. 495b & repeals sec. 615c of 1954 PA 116 (MCL 168.615c",https://legiscan.com/MI/bill/HB5956/2013
347232,MO,HB1052,2012,2012 Regular Session,Introduced,2012-01-04,2012-02-21,Public Hearing Completed (H),Elections,closes,Establishes a closed primary election system,Establishes a closed primary election system,https://legiscan.com/MO/bill/HB1052/2012
404856,MO,SB832,2012,2012 Regular Session,In Senate Committee,2012-02-23,2012-03-19,Hearing Conducted S Financial and Governmental Organizations and Elections Committee,Financial And Governmental Organizations And Elections,closes,Establishes a closed primary,Establishes a closed primary,https://legiscan.com/MO/bill/SB832/2012
417019,MO,HB1963,2012,2012 Regular Session,Introduced,2012-03-21,2012-04-12,Referred: Elections (H),Elections,closes,Establishes a closed primary election system,Establishes a closed primary election system,https://legiscan.com/MO/bill/HB1963/2012
864709,MO,HB2761,2016,2016 Regular Session,Introduced,2016-03-15,2016-05-13,Referred: Elections(H),Elections,closes,Allows the governing body of any established political party to choose to adopt a closed primary system.,Allows the governing body of any established political party to choose to adopt a closed primary system.,https://legiscan.com/MO/bill/HB2761/2016
891927,MO,HB27,2017,2017 Regular Session,In House Committee,2017-01-04,2017-05-12,"Referred: Select Committee on Local, State, Federal Relations and Miscellaneous Business(H)","Select Committee on Local, State, Federal Relations and Miscellaneous Business",closes,Allows the governing body of any established political party to choose to adopt a closed primary system,Allows the governing body of any established political party to choose to adopt a closed primary system,https://legiscan.com/MO/bill/HB27/2017
1294908,MO,HB1938,2020,2020 Regular Session,Introduced,2020-01-08,2020-05-15,Referred: Elections and Elected Officials(H),Elections and Elected Officials,opens,Creates open primaries.,Creates open primaries.,https://legiscan.com/MO/bill/HB1938/2020
1422800,MO,HB885,2021,2021 Regular Session,Introduced,2021-01-26,2021-05-14,Referred: Elections and Elected Officials(H),Elections and Elected Officials,opens,Creates open primaries,Creates open primaries,https://legiscan.com/MO/bill/HB885/2021
1535864,MO,HB1793,2022,2022 Regular Session,Introduced,2022-01-05,2022-05-13,Referred: Elections and Elected Officials(H),Elections and Elected Officials,opens,Creates open primaries,Creates open primaries,https://legiscan.com/MO/bill/HB1793/2022
1640387,MO,SB392,2023,2023 Regular Session,In Senate Committee,2023-01-04,2023-03-02,Second Read and Referred S Local Government and Elections Committee,Local Government and Elections,closes,Requires closed primary elections,Requires closed primary elections,https://legiscan.com/MO/bill/SB392/2023
1634922,MO,SB240,2023,2023 Regular Session,In Senate Committee,2023-01-04,2023-02-09,Second Read and Referred S Local Government and Elections Committee,Local Government and Elections,closes,Requires closed primary elections,Requires closed primary elections,https://legiscan.com/MO/bill/SB240/2023
1789995,MO,SB1140,2024,2024 Regular Session,In Senate Committee,2024-01-03,2024-01-25,Second Read and Referred S Local Government and Elections Committee,Local Government and Elections,closes,Requires closed primary elections,Requires closed primary elections,https://legiscan.com/MO/bill/SB1140/2024
145061,MS,HB98,2010,2010 Regular Session,In Senate Committee,2010-02-02,2010-02-02,Died In Committee,,opens,Open primaries; establish and abolish partisan primaries.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, That Such Per",https://legiscan.com/MS/bill/HB98/2010
232915,MS,HB1276,2011,2011 Regular Session,In Senate Committee,2011-02-01,2011-02-01,Died In Committee,,opens,Open Primaries; establish.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB1276/2011
213586,MS,HB220,2011,2011 Regular Session,In Senate Committee,2011-02-01,2011-02-01,Died In Committee,,opens,Open primaries; establish and abolish partisan primaries.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, That Such Per",https://legiscan.com/MS/bill/HB220/2011
390432,MS,HB151,2012,2012 Regular Session,In Senate Committee,2012-03-06,2012-03-06,Died In Committee,,opens,Open primary election; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB151/2012
