state,name,party,role,district,sitting,sponsored,yea,nay,people_id
TN,Mark Pody,R,Sen,SD-017,yes,1,1,0,12238
ME,Randall Hall,R,Rep,HD-074,yes,0,2,2,21212
SD,Joni Cutler,R,Sen,SD-014,no,1,1,0,8271
ME,Ryan Tipping-Spitz,D,Rep,HD-123,no,0,0,4,15748
LA,Gerald Long,R,Sen,SD-031,no,0,3,1,5373
ME,Shelley Rudnicki,R,Rep,HD-067,yes,0,2,2,21233
ME,David Haggan,R,Sen,SD-010,yes,0,3,1,18188
ME,Stephen Stanley,D,Rep,HD-143,no,0,3,1,14732
ME,Theodore Kryzak,R,Rep,HD-020,no,0,2,2,21220
MD,Michele Guyton,D,Rep,HD-042,yes,1,1,0,20861
ID,Grant Burgoyne,D,Sen,SD-016,no,1,0,1,8013
LA,Neil Riser,R,Rep,HD-020,yes,0,1,3,5369
ID,John Rusche,D,Rep,HD-006B,no,1,0,1,8054
MT,Jon Sonju,R,Sen,SD-004,no,0,4,0,7929
ME,Kyle Bailey,D,Rep,HD-027,no,1,1,0,22704
LA,Troy Hebert,D,Sen,SD-022,no,0,4,0,5380
MT,Mark Noland,R,Sen,SD-005,yes,0,4,0,16656
LA,Sharon Broome,D,Sen,SD-015,no,0,3,1,5382
NY,Michael Kearns,D,Rep,HD-142,no,1,1,0,13941
LA,B.L. Shaw,R,Sen,SD-037,no,0,2,2,5370
WV,Jeffrey Kessler,D,Sen,SD-002,no,1,0,0,119
AZ,Lela Alston,D,Sen,SD-005,yes,1,0,0,10699
AZ,Robert Meza,D,Rep,HD-030,no,1,0,0,4310
KY,Thomas Thompson,D,Rep,HD-014,no,1,0,0,1204
AZ,Lynne Pancrazi,D,Sen,SD-004,no,1,0,0,4249
KY,Brent Yonts,D,Rep,HD-015,no,1,0,0,1214
MO,Sue Allen,R,Rep,HD-100,no,1,0,0,7504
AZ,Diego Espinoza,D,Rep,HD-019,no,1,0,0,16879
KY,Darryl Owens,D,Rep,HD-043,no,1,0,0,1181
MT,Jonathan Windy Boy,D,Sen,SD-016,yes,0,0,3,7994
IL,Rachel Ventura,D,Sen,SD-043,yes,1,0,0,24168
ME,Gregory Swallow,R,Rep,HD-007,yes,0,2,1,21236
LA,Simone Champagne,R,Rep,HD-049,no,0,3,0,5274
IL,Daniel Didech,D,Rep,HD-059,yes,1,0,0,21054
LA,Girod Jackson,D,Rep,HD-087,no,0,1,2,5310
LA,Nickie Monica,R,Rep,HD-057,no,0,1,2,5312
AK,Sam Kito,D,Rep,HD-033,no,1,0,0,16228
SC,David O'Neal,R,Rep,HD-066,no,1,0,0,23305
LA,Bobby Badon,D,Rep,HD-039,no,0,3,0,5305
MT,Larry Jent,D,Sen,SD-032,no,0,0,3,7960
MT,Forrest Mandeville,R,Sen,SD-029,yes,0,3,0,16562
MT,Christopher Pope,D,Sen,SD-031,yes,0,0,3,16658
MT,Mitch Tropila,D,Rep,HD-026,no,0,0,3,7981
MA,Kay Khan,D,Rep,HD-11-MID,no,1,0,0,2464
MT,Katherin Kelker,D,Sen,SD-024,no,0,0,3,16314
AZ,Kirsten Engel,D,Sen,SD-010,no,1,0,0,18568
AZ,Athena Salman,D,Rep,HD-008,no,1,0,0,18608
LA,Wayne Waddell,R,Rep,HD-005,no,0,3,0,5220
MT,Pat Flowers,D,Sen,SD-032,yes,0,0,3,19734
US,Scott Peters,D,Rep,HD-CA-50,yes,1,0,0,15235
MT,Thomas Facey,D,Sen,SD-050,no,0,0,3,10421
AZ,Arlando Teller,D,Rep,HD-007,no,1,0,0,20827
MS,Kathy Chism,R,Sen,SD-003,yes,1,0,0,21457
MA,Josh Cutler,D,Rep,HD-06-PLY,no,1,0,0,16187
IL,Elizabeth Coulson,R,Rep,HD-017,no,1,0,0,971
IN,Mike Gaskill,R,Sen,SD-025,yes,1,0,0,19711
NY,Sarahana Shrestha,D,Rep,HD-103,yes,1,0,0,24194
IL,Graciela Guzman,D,Sen,SD-020,yes,1,0,0,26139
AZ,Bob Thorpe,R,Rep,HD-006,no,1,0,0,14711
GA,Brandon Beach,R,Sen,SD-021,yes,1,0,0,15155
HI,Josh Green,D,Sen,SD-003,no,1,0,0,8432
HI,Jill Tokuda,D,Sen,SD-024,no,1,0,0,8449
HI,William Espero,D,Sen,SD-019,no,1,0,0,8428
IL,William Cunningham,D,Sen,SD-018,yes,1,0,0,11929
NY,Sandra Galef,D,Rep,HD-095,no,0,3,0,1304
SD,Local Government,,Rep,,no,1,0,0,8264
MD,Brooke Lierman,D,Rep,HD-046,no,1,0,0,17237
LA,Jared Brossett,D,Rep,HD-097,no,0,3,0,5268
WA,Janea Holmquist,R,Sen,SD-013,no,1,0,0,3599
MT,John Esp,R,Sen,SD-030,yes,0,3,0,7986
LA,Rogers Pope,R,Sen,SD-013,no,0,2,1,5251
LA,Joseph Harrison,R,Rep,HD-051,no,0,3,0,5284
MS,Johnny Stringer,D,Rep,HD-087,no,1,0,0,6561
VA,Ronnie Campbell,R,Rep,HD-024,no,1,0,0,20160
LA,Robert Johnson,D,Rep,HD-028,no,0,3,0,5319
MT,Sharon Stewart-Peregoy,D,Rep,HD-042,no,0,0,3,8000
MD,Jim Rosapepe,D,Sen,SD-021,yes,1,0,0,4731
SC,Patrick Haddon,R,Rep,HD-019,yes,1,0,0,21436
IL,LaShawn Ford,D,Rep,HD-008,yes,1,0,0,1004
LA,Scott Simon,R,Rep,HD-074,no,0,2,1,5230
MS,Michael Watson,R,Sen,SD-051,no,1,0,0,6622
MA,James Arciero,D,Rep,HD-02-MID,yes,1,0,0,2390
CT,Brandon Chafee,D,Rep,HD-033,yes,1,0,0,22092
MT,Steve Hinebauch,R,Sen,SD-018,no,0,3,0,18391
MT,Kenneth Bogner,R,Sen,SD-019,yes,0,3,0,20760
SC,Neal Collins,R,Rep,HD-005,yes,1,0,0,16323
LA,Reed Henderson,D,Rep,HD-103,no,0,3,0,5308
MT,Willis Curdy,D,Sen,SD-049,yes,0,0,3,16342
LA,Ernest Wooton,R,Rep,HD-105,no,0,3,0,5222
AZ,Diego Rodriguez,D,Rep,HD-027,no,1,0,0,20752
ME,Mark Lawrence,D,Sen,SD-035,yes,0,3,0,18192
LA,Clifton Richardson,R,Rep,HD-065,no,0,3,0,5302
AZ,Christine Marsh,D,Sen,SD-004,no,1,0,0,22290
LA,Rosalind Jones,D,Rep,HD-017,no,0,2,1,5285
LA,Michael Jackson,D,Rep,HD-061,no,0,1,2,5287
MT,John Brenden,R,Sen,SD-018,no,0,3,0,7979
LA,D.A. Gautreaux,D,Sen,SD-021,no,0,3,0,5362
MO,Phil Christofanelli,R,Rep,HD-104,no,1,0,0,18052
LA,Jonathan Perry,R,Sen,SD-026,no,0,3,0,5275
LA,Jane Smith,R,Rep,HD-008,no,1,0,0,5254
MT,Susan Webber,D,Sen,SD-008,yes,0,0,3,16353
NC,Johnnie Autry,D,Rep,HD-100,no,1,0,0,18448
MT,Mary Caferro,D,Rep,HD-082,yes,0,0,3,7923
MT,Gene Vuckovich,D,Sen,SD-039,no,0,0,3,10417
MT,Andrea Olsen,D,Sen,SD-050,yes,0,0,3,16356
ME,Jonathan Courtney,R,Sen,SD-003,no,1,0,0,8754
ME,Philip Curtis,R,Rep,HD-111,no,0,2,1,8813
ME,Thomas Martin,R,Rep,HD-057,no,0,2,1,21222
LA,Joel Robideaux,R,Rep,HD-045,no,0,3,0,5314
TN,Jody Barrett,R,Rep,HD-069,yes,1,0,0,24115
IN,Aaron Freeman,R,Sen,SD-032,yes,1,0,0,17997
NY,Zellnor Myrie,D,Sen,SD-020,yes,0,3,0,20155
NM,Martha Garcia,D,Rep,HD-006,yes,1,0,0,26456
LA,Nita Hutter,R,Rep,HD-104,no,0,3,0,5265
AR,Nate Steel,D,Rep,HD-019,no,1,0,0,12450
IL,Robyn Gabel,D,Rep,HD-018,yes,1,0,0,4407
ME,Richard Woodbury,,Sen,SD-011,no,1,0,0,11311
ME,Dennis Keschl,R,Rep,HD-076,no,0,2,1,10346
MS,Bobby Howell,R,Rep,HD-046,no,1,0,0,6553
ME,Paul McGowan,D,Rep,HD-149,no,1,0,0,15277
TN,Rush Bricken,R,Rep,HD-047,yes,1,0,0,20336
MS,Billy Hudson,R,Sen,SD-045,no,1,0,0,6631
ME,Katherine Cassidy,D,Rep,HD-032,no,1,0,0,15269
MS,Stephen Holland,D,Rep,HD-016,no,1,0,0,6504
SC,Stewart Jones,R,Rep,HD-014,no,1,0,0,21358
ME,Joseph Brooks,,Rep,HD-042,no,1,0,0,15472
VA,Glenn Davis,R,Rep,HD-084,no,1,0,0,16080
MT,Bradley Hamlett,D,Rep,HD-023,no,0,1,2,7990
TN,Tim Hicks,R,Rep,HD-006,yes,1,0,0,22447
MT,Clifford Larsen,D,Sen,SD-050,no,0,0,3,7991
MS,Bobby Shows,R,Rep,HD-089,no,1,0,0,6595
MT,Robyn Driscoll,D,Sen,SD-026,no,0,0,3,7887
HI,Kalani English,D,Sen,SD-007,no,1,0,0,8427
DC,Tommy Wells,D,Sen,SD-006,no,1,0,0,14680
MD,Robert Zirkin,D,Sen,SD-011,no,1,0,0,4713
US,Vicente Gonzalez,D,Rep,HD-TX-34,yes,1,0,0,18308
AK,Benjamin Carpenter,R,Rep,HD-008,no,1,0,0,21266
LA,Kevin Pearson,R,Rep,HD-076,no,0,2,1,5229
LA,Rickey Nowlin,R,Rep,HD-023,no,0,3,0,5250
LA,Michael Danahay,D,Rep,HD-033,no,0,3,0,5277
WV,Larry Edgell,D,Sen,SD-002,no,1,0,0,109
MT,Tom McGillvray,R,Sen,SD-023,yes,0,3,0,7926
WA,Paull Shin,D,Sen,SD-021,no,1,0,0,3613
MS,Daryl Porter,D,Rep,HD-098,yes,1,0,0,21486
CT,Jennifer Leeper,D,Rep,HD-132,yes,1,0,0,22101
MS,Preston Sullivan,D,Rep,HD-022,no,1,0,0,6494
MS,Melanie Sojourner,R,Sen,SD-037,no,1,0,0,13673
ME,Braden Sharpe,D,Rep,HD-046,no,0,2,1,21234
MT,Bruce Gillespie,R,Sen,SD-009,yes,0,3,0,19916
LA,Regina Barrow,D,Sen,SD-015,yes,0,1,2,5232
LA,Fred Mills,R,Sen,SD-022,no,0,3,0,5249
ME,Louis Luchini,D,Sen,SD-007,no,0,3,0,10351
LA,Gary Smith,D,Sen,SD-019,no,0,2,1,5253
LA,Billy Chandler,D,Rep,HD-022,no,0,3,0,5237
WA,Brian Hatfield,D,Sen,SD-019,no,1,0,0,3620
MS,Michael Evans,D,Rep,HD-045,no,1,0,0,13813
MS,Tom Weathersby,R,Rep,HD-062,no,1,0,0,6560
MT,Dick Barrett,D,Sen,SD-045,no,0,0,3,7893
MT,Mike Phillips,D,Sen,SD-033,no,0,0,3,7917
LA,Lee Amedee,R,Sen,SD-018,no,0,3,0,5381
WA,James Hargrove,D,Sen,SD-024,no,1,0,0,3630
MT,Sue Malek,D,Sen,SD-046,no,0,0,3,7927
MS,Charles Busby,R,Rep,HD-111,no,1,0,0,13793
MT,Jon Sesso,D,Sen,SD-037,no,0,0,3,7853
SD,Jean Hunhoff,R,Rep,SD-018,no,0,1,2,8303
MS,Chris McDaniel,R,Sen,SD-042,no,1,0,0,6614
LA,Bernard LeBas,D,Rep,HD-038,no,0,3,0,5290
LA,Neil Abramson,D,Rep,HD-098,no,0,3,0,5258
ME,Benjamin Hymes,R,Rep,HD-038,yes,1,0,0,23258
LA,Joel Chaisson,D,Sen,SD-019,no,0,3,0,5357
SC,Adam Morgan,R,Rep,HD-020,no,1,0,0,19935
WA,Craig Pridemore,D,Sen,SD-049,no,1,0,0,3608
US,Jack Evans,D,Sen,SD-002,no,1,0,0,14672
CA,Abel Maldonado,R,Sen,SD-015,no,1,0,0,1593
MT,Shane Morigeau,D,Sen,SD-048,yes,0,0,3,18381
MS,Jerry Turner,R,Rep,HD-018,yes,1,0,0,6509
LA,Jean Doerge,D,Rep,HD-010,no,0,3,0,5217
MA,Cleon Turner,D,Rep,HD-01-BAR,no,1,0,0,2535
MS,Carl Mickens,D,Rep,HD-042,yes,1,0,0,17769
MT,Bob Brown,R,Sen,SD-007,no,0,3,0,16664
SC,Anne Thayer,R,Rep,HD-009,no,1,0,0,10955
SC,Rex Rice,R,Sen,SD-002,yes,1,0,0,2294
AK,Sarah Vance,R,Rep,HD-006,yes,1,0,0,21272
CT,Eleni Kavros DeGraw,D,Rep,HD-017,yes,1,0,0,22100
GA,Greg Dolezal,R,Sen,SD-027,yes,1,0,0,20734
GA,Colton Moore,R,Sen,SD-053,yes,1,0,0,20985
GA,Jason Anavitarte,R,Sen,SD-031,yes,1,0,0,22295
MS,Steve Massengill,R,Rep,HD-013,yes,1,0,0,13797
LA,Thomas Willmott,R,Rep,HD-092,no,0,3,0,5288
RI,Arthur Handy,D,Rep,HD-018,yes,1,0,0,5148
AK,Louise Stutes,R,Rep,HD-005,yes,1,0,0,17251
MO,Jay Wasson,R,Sen,SD-020,no,1,0,0,7653
AZ,Daniel Patterson,D,Rep,HD-029,no,1,0,0,4250
MT,Jim Keane,D,Rep,HD-073,no,0,0,3,7984
NY,Micah Lasher,D,Rep,HD-069,yes,1,0,0,25826
NC,Marcia Morey,D,Rep,HD-030,yes,1,0,0,19360
US,Mary Cheh,D,Sen,SD-003,no,1,0,0,14676
MT,Russel Tempel,R,Sen,SD-014,yes,0,1,2,18552
US,David Grosso,D,Sen,SD-000,no,1,0,0,15941
AK,Daniel Ortiz,I,Rep,HD-001,no,1,0,0,16678
MS,Ken Morgan,R,Rep,HD-100,yes,1,0,0,6537
MT,Jason Small,R,Sen,SD-021,no,0,1,2,18502
NC,Kenneth Goodman,D,Rep,HD-066,no,1,0,0,11980
MA,Robert Koczera,D,Rep,HD-11-BRI,no,1,0,0,2466
TN,Joseph Hensley,R,Sen,SD-028,yes,1,0,0,7202
SC,Beth Bernstein,D,Rep,HD-078,yes,1,0,0,14187
LA,James Fannin,R,Sen,SD-035,no,0,3,0,5215
AZ,Laura Terech,D,Rep,HD-004,no,1,0,0,24245
SC,Heather Crawford,R,Rep,HD-068,yes,1,0,0,14300
AZ,Chad Campbell,D,Rep,HD-024,no,1,0,0,4243
AK,Kevin McCabe,R,Rep,HD-030,yes,1,0,0,22861
LA,Brett Geymann,R,Rep,HD-035,yes,0,3,0,5278
SD,Mark Venner,R,Rep,HD-024,no,1,0,0,10626
LA,Cameron Henry,R,Sen,SD-009,yes,0,2,1,5280
LA,Karen Peterson,D,Sen,SD-005,no,0,2,1,5379
MT,Shannon O'Brien,D,Sen,SD-046,no,0,0,3,22349
AK,Adam Wool,D,Rep,HD-005,no,1,0,0,17254
MT,John Fuller,R,Sen,SD-004,yes,0,3,0,20370
AK,Frank Tomaszewski,R,Rep,HD-034,yes,1,0,0,24593
AK,George Rauscher,R,Sen,SD-O,yes,1,0,0,18610
MS,Lester Carpenter,R,Rep,HD-001,yes,1,0,0,6500
US,Marcy Kaptur,D,Rep,HD-OH-9,yes,1,0,0,9070
VA,Eric Phillips,R,Rep,HD-048,yes,1,0,0,25046
AK,Gabrielle LeDoux,R,Rep,HD-015,no,1,0,0,14390
LA,Juan LaFonta,D,Rep,HD-096,no,0,1,2,5270
MT,Mary Dunwell,D,Sen,SD-042,yes,0,0,3,16341
US,Thomas Suozzi,D,Rep,HD-NY-3,yes,1,0,0,18333
MT,Christine Kaufmann,D,Sen,SD-041,no,0,0,3,7968
US,Donald Davis,D,Rep,HD-NC-1,yes,1,0,0,24010
AK,James Petersen,D,Rep,HD-019,no,1,0,0,6055
AZ,Pamela Hannley,D,Rep,HD-009,no,1,0,0,18040
ME,Eloise Vitelli,D,Sen,SD-024,no,0,2,1,16089
AZ,Cesar Chavez,D,Rep,HD-029,no,1,0,0,18567
HI,Russell Kokubun,D,Sen,SD-002,no,1,0,0,8441
AK,Sharon Cissna,D,Rep,HD-022,no,1,0,0,6057
ME,Heather Sanborn,D,Sen,SD-028,no,0,1,2,18202
NY,Zohran Kwame Mamdani,D,Rep,HD-036,yes,1,0,0,22367
WV,Douglas Facemire,D,Sen,SD-012,no,1,0,0,802
CT,Linda Schofield,D,Rep,HD-016,no,1,0,0,5680
MS,Charles Beckett,R,Rep,HD-023,no,1,0,0,6498
VT,Laura Sibilia,I,Rep,HD-WIN2,yes,1,0,0,17126
SC,Thomas Brittain,R,Rep,HD-107,yes,1,0,0,21740
HI,Robert Bunda,D,Sen,SD-022,no,1,0,0,8438
SC,Wes Climer,R,Sen,SD-015,yes,1,0,0,18031
AZ,Analise Ortiz,D,Sen,SD-024,yes,1,0,0,24241
AZ,Denise Epstein,D,Sen,SD-012,yes,1,0,0,18569
NM,Shannon Pinto,D,Sen,SD-003,yes,1,0,0,21532
AZ,Cesar Aguilar,D,Rep,HD-026,yes,1,0,0,24229
ME,Joyce Maker,R,Sen,SD-006,no,1,0,0,10352
MS,Alex Monsour,R,Rep,HD-054,no,1,0,0,6531
MI,Robert Genetski,R,Rep,HD-080,no,1,0,0,2877
ME,William Faulkingham,R,Rep,HD-012,yes,0,2,1,21205
AZ,Drew John,R,Rep,HD-014,no,1,0,0,18662
AZ,Kevin Payne,R,Sen,SD-027,yes,1,0,0,18663
AL,Mike Ball,R,Rep,HD-010,no,1,0,0,3416
AZ,Nancy Gutierrez,D,Rep,HD-018,yes,1,0,0,24235
AZ,Sally Gonzales,D,Sen,SD-020,yes,1,0,0,10704
AZ,Anastasia Travers,D,Rep,HD-012,yes,1,0,0,24246
SC,Cally Forrest,R,Rep,HD-039,yes,1,0,0,18089
AZ,Lorena Austin,D,Rep,HD-009,yes,1,0,0,24230
MT,Joshua Kassmier,R,Sen,SD-013,yes,1,0,0,20371
AZ,Alma Hernandez,D,Rep,HD-020,yes,1,0,0,20571
SC,Melissa Oremus,R,Rep,HD-084,yes,1,0,0,21398
AL,Bobby Singleton,D,Sen,SD-024,yes,1,0,0,3482
SC,Doug Gilliam,R,Rep,HD-042,yes,1,0,0,19930
MI,Gregory MacMaster,R,Rep,HD-105,no,1,0,0,10828
NC,Allison Dahle,D,Rep,HD-011,yes,1,0,0,20509
VT,Kate Logan,D,Rep,HD-CHI16,yes,1,0,0,24526
SC,Thomas Corbin,R,Sen,SD-005,yes,1,0,0,11118
MA,James Timilty,D,Sen,SD-BRISTO,no,1,0,0,2578
SC,Bobby Cox,R,Rep,HD-021,yes,1,0,0,19927
MA,Martha Walz,D,Rep,HD-08-SUF,no,1,0,0,2541
SC,Bill Taylor,R,Rep,HD-086,yes,1,0,0,10954
NY,Daniel Squadron,D,Sen,SD-026,no,1,0,0,1454
UT,Daniel Thatcher,R,Sen,SD-011,no,0,3,0,11713
MT,Terry Vermeire,R,Sen,SD-039,no,0,2,1,23749
UT,Luz Escamilla,D,Sen,SD-010,yes,0,3,0,8209
CT,Nick Gauthier,D,Rep,HD-038,yes,1,0,0,25972
AZ,Pamela Carter,R,Rep,HD-004,yes,1,0,0,25437
NM,Natalie Figueroa,D,Sen,SD-018,yes,1,0,0,20917
LA,Patricia Smith,D,Rep,HD-067,no,0,1,2,5262
NC,Zack Forde-Hawkins,D,Rep,HD-031,yes,1,0,0,20515
AZ,Matthew Heinz,D,Rep,HD-029,no,1,0,0,4299
AZ,Brenda Barton,R,Rep,HD-006,no,1,0,0,10678
AZ,John Gillette,R,Rep,HD-030,yes,1,0,0,24184
LA,Charles Kleckley,R,Rep,HD-036,no,0,3,0,5260
MS,Jeffery Harness,D,Rep,HD-085,yes,1,0,0,20630
UT,Kevin Van Tassell,R,Sen,SD-026,no,0,3,0,8139
AZ,Consuelo Hernandez,D,Rep,HD-021,yes,1,0,0,24248
IL,Jim Watson,R,Rep,HD-100,no,1,0,0,987
AZ,Alexander Kolodin,R,Rep,HD-003,yes,1,0,0,24240
AZ,Becky Nutt,R,Rep,HD-014,no,1,0,0,18039
AZ,Jennifer Jermaine,D,Rep,HD-018,no,1,0,0,20572
NM,William O'Neill,D,Sen,SD-013,no,1,0,0,6142
NM,Meredith Dixon,D,Rep,HD-020,yes,1,0,0,22657
LA,Austin Badon,D,Rep,HD-100,no,0,1,2,5304
LA,Charmaine Marchand Stiaes,D,Rep,HD-099,no,0,1,2,5255
AZ,Lorenzo Sierra,D,Rep,HD-019,no,1,0,0,20753
AZ,Kelli Butler,D,Rep,HD-028,no,1,0,0,18772
SC,Joseph Bustos,R,Rep,HD-112,yes,1,0,0,21741
AZ,Tom Chabin,D,Rep,HD-002,no,1,0,0,4244
MA,Jay Kaufman,D,Rep,HD-15-MID,no,1,0,0,2462
HI,Shan Tsutsui,D,Sen,SD-005,no,1,0,0,8430
MA,Cory Atkins,D,Rep,HD-14-MID,no,1,0,0,2392
ME,Troy Jackson,D,Sen,SD-001,no,0,2,1,8743
ME,Mark Dion,D,Sen,SD-028,no,1,0,0,10332
MT,Walt Sales,R,Sen,SD-035,no,0,2,1,18385
UT,Brian Shiozawa,R,Sen,SD-008,no,0,3,0,15464
MT,Becky Beard,R,Sen,SD-040,yes,0,3,0,18373
MT,Jen Gross,D,Sen,SD-025,no,0,0,3,18083
MT,Jason Ellsworth,R,Sen,SD-043,yes,0,3,0,20677
OH,Louis Blessing,R,Sen,SD-008,yes,1,0,0,14653
MT,Jeremy Trebas,R,Sen,SD-013,yes,0,3,0,18387
LA,Thomas McVea,R,Rep,HD-062,no,0,3,0,5311
MT,Brad Molnar,R,Sen,SD-028,no,0,1,2,22354
ME,Lisa Keim,R,Sen,SD-019,no,0,1,2,18191
WY,Dan Zwonitzer,R,Rep,HD-043,no,1,0,0,8711
WY,Mary Throne,D,Rep,HD-011,no,1,0,0,8660
MT,Greg Jergeson,D,Sen,SD-017,no,0,0,3,14078
LA,Nancy Landry,R,Rep,HD-031,no,0,3,0,5289
LA,Roy Burrell,D,Rep,HD-002,no,0,2,1,5235
IN,Elizabeth Rowray,R,Rep,HD-035,yes,1,0,0,21916
WV,Tal Hutchins,D,Rep,HD-003,no,1,0,0,42
ME,Daniel Hobbs,D,Rep,HD-145,no,0,2,1,21215
MT,Daniel Emrich,R,Sen,SD-011,yes,0,3,0,23370
AL,Artis McCampbell,D,Rep,HD-071,yes,1,0,0,3358
LA,Charles Chaney,R,Rep,HD-019,no,0,2,1,5238
LA,John Edwards,D,Rep,HD-072,no,0,3,0,5298
RI,James Sheehan,D,Sen,SD-036,no,1,0,0,5199
LA,Taylor Barras,R,Rep,HD-048,no,0,3,0,5299
SC,William Whitmire,R,Rep,HD-001,yes,1,0,0,2319
LA,Robert Billiot,D,Rep,HD-083,no,0,1,2,5267
IN,John Prescott,R,Rep,HD-033,yes,1,0,0,20013
TN,Kelly Keisling,R,Rep,HD-038,yes,1,0,0,12069
NY,Yudelka Tapia,D,Rep,HD-086,yes,1,0,0,22982
MT,Barry Usher,R,Sen,SD-020,yes,0,3,0,18388
TX,Salman Bhojani,D,Rep,HD-092,yes,1,0,0,24075
LA,Patrick Connick,R,Sen,SD-008,yes,0,3,0,5239
LA,A.B. Franklin,D,Rep,HD-034,no,0,3,0,5343
LA,Jerry Gisclair,D,Rep,HD-054,no,0,2,1,5242
LA,Dorothy Hill,D,Rep,HD-032,no,0,3,0,5309
LA,Richard Burford,R,Rep,HD-007,no,0,3,0,5317
IN,Gary Byrne,R,Sen,SD-047,yes,1,0,0,23088
HI,Michelle Kidani,D,Sen,SD-018,yes,1,0,0,8440
LA,Harold Ritchie,D,Rep,HD-075,no,0,3,0,5300
LA,Karen St Germain,D,Rep,HD-060,no,0,2,1,5271
IL,Dan Brady,R,Rep,HD-105,no,1,0,0,953
LA,James Morris,R,Rep,HD-001,no,0,3,0,5228
LA,Ledricka Thierry,D,Rep,HD-040,no,0,2,1,5219
LA,Barbara Norton,D,Rep,HD-003,no,0,1,2,5329
LA,Patrick Williams,D,Rep,HD-004,no,0,1,2,5221
IN,Stacey Donato,R,Sen,SD-018,yes,1,0,0,21397
DC,David Catania,D,Sen,SD-000,no,1,0,0,14670
IN,Blake Doriot,R,Sen,SD-012,yes,1,0,0,17993
LA,Jerome Richard,I,Rep,HD-055,no,0,3,0,5291
IN,Michelle Davis,R,Rep,HD-058,yes,1,0,0,21918
MA,Anne Gobi,D,Sen,SD-WORCES,no,1,0,0,2445
LA,Elbert Guillory,D,Sen,SD-024,no,0,0,3,5399
MT,Chris Friedel,R,Sen,SD-026,no,0,3,0,22264
KY,Adam Koenig,R,Rep,HD-069,no,1,0,0,1166
HI,Scott Saiki,D,Rep,HD-025,no,1,0,0,8382
NC,Susan Fisher,D,Rep,HD-114,no,1,0,0,2060
NY,Diana Moreno,D,Rep,HD-036,yes,1,0,0,26623
LA,Norby Chabert,R,Sen,SD-020,no,0,3,0,5403
LA,Anthony Ligi,R,Rep,HD-079,no,0,3,0,5227
LA,Elton Aubert,D,Rep,HD-058,no,0,3,0,5342
WY,Ruth Petroff,R,Rep,HD-016,no,1,0,0,10944
ME,Victoria Foley,D,Rep,HD-012,no,0,2,1,21207
NM,Gregg Schmedes,R,Sen,SD-019,no,1,0,0,20923
NC,Ray Russell,D,Rep,HD-093,no,1,0,0,20526
IL,Lamont Robinson,D,Rep,HD-005,no,1,0,0,20196
MT,Anders Blewett,D,Sen,SD-011,no,0,0,3,7930
WA,Bob McCaslin,R,Rep,HD-004A,no,1,0,0,3627
US,John Yarmuth,D,Rep,HD-KY-3,no,1,0,0,9150
MI,Ray Franz,R,Rep,HD-101,no,1,0,0,10823
SD,Thomas Nelson,R,Sen,SD-031,no,0,3,0,8219
MT,Shannon Augare,D,Sen,SD-008,no,0,0,3,7902
LA,Dan Morrish,R,Sen,SD-025,no,0,2,1,5402
ME,Arthur Verow,D,Rep,HD-128,no,0,1,2,15703
HI,Fred Hemmings,R,Sen,SD-025,no,1,0,0,8433
MO,Andrew Koenig,R,Sen,SD-015,no,1,0,0,7574
LA,Franklin Foil,R,Sen,SD-016,yes,0,3,0,5264
FL,Chase Tramont,R,Rep,HD-030,yes,1,0,0,23332
VA,Joesph Lindsey,D,Rep,HD-090,no,0,1,2,16262
ME,Thomas Saviello,R,Sen,SD-017,no,1,0,0,8898
WV,Joseph Minard,D,Sen,SD-012,no,1,0,0,123
MS,Randal Rushing,R,Rep,HD-078,yes,1,0,0,13801
SC,Don Chapman,R,Rep,HD-008,yes,1,0,0,23392
CA,Lois Wolk,D,Sen,SD-003,no,1,0,0,1606
WV,Michael Oliverio,D,Sen,SD-013,no,1,0,0,124
WV,Dan Foster,D,Sen,SD-017,no,1,0,0,112
ME,Shawn Babine,D,Rep,HD-029,no,0,2,1,21190
MT,Kendall Van Dyk,D,Sen,SD-025,no,0,0,3,7870
AZ,Jay Lawrence,R,Rep,HD-023,no,1,0,0,16508
LA,Samuel Little,R,Rep,HD-014,no,0,3,0,5248
SC,Daniel Gibson,R,Rep,HD-012,yes,1,0,0,23373
ME,Richard Campbell,R,Rep,HD-019,yes,0,2,1,15775
CA,Lou Correa,D,Sen,SD-034,no,1,0,0,1579
IL,Elaine Nekritz,D,Rep,HD-057,no,1,0,0,970
AR,Jeremy Gillam,R,Rep,HD-045,no,1,0,0,12414
ME,Linda Baker,R,Sen,SD-023,no,1,0,0,16638
VA,Dave LaRock,R,Rep,HD-033,no,1,0,0,16090
HI,Les Ihara,D,Sen,SD-010,yes,1,0,0,8435
MS,Nickey Browning,R,Sen,SD-003,no,1,0,0,6653
LA,Rickey Hardy,D,Rep,HD-044,no,0,1,2,5259
IL,Steven Landek,D,Sen,SD-012,no,1,0,0,12174
VA,Thomas Wright,R,Rep,HD-050,yes,1,0,0,760
AR,Dan Douglas,R,Rep,HD-091,no,1,0,0,14937
HI,Della au Belatti,D,Rep,HD-026,yes,1,0,0,8389
AR,Clarke Tucker,D,Sen,SD-014,yes,1,0,0,16924
NM,James Dines,R,Rep,HD-020,no,1,0,0,17345
