state,name,party,role,district,sitting,sponsored,yea,nay,people_id
NY,Michael Blake,D,Rep,HD-079,no,2,2,0,17455
WV,Larry Barker,D,Rep,HD-018,no,2,2,0,8
ME,Richard Farnsworth,D,Rep,HD-037,no,1,0,4,14716
NY,Anthony D'Urso,D,Rep,HD-016,no,2,1,0,18774
NY,Walter Mosley,D,Rep,HD-057,no,2,1,0,14209
ME,John Schneck,D,Rep,HD-126,no,1,3,1,15047
MT,Alan Olson,R,Sen,SD-023,no,1,4,0,10425
ME,Geoffrey Gratwick,D,Sen,SD-009,no,2,0,1,14742
ME,Chloe Maxmin,D,Sen,SD-013,no,1,2,2,21224
MD,Chao Wu,D,Rep,HD-009,yes,2,1,0,24725
ME,Genevieve McDonald,D,Rep,HD-134,no,1,1,3,21225
WY,Chris Rothfuss,D,Sen,SD-009,yes,2,1,0,10602
TN,Tim Rudd,R,Rep,HD-034,yes,2,1,0,18646
ME,Allison Hepler,D,Rep,HD-049,yes,1,2,2,21214
ME,Michele Meyer,D,Rep,HD-150,yes,1,2,2,21226
ME,Donald Marean,R,Rep,HD-016,no,1,3,1,15747
MD,Stuart Schmidt,R,Rep,HD-033,yes,2,1,0,24719
LA,John Smith,R,Sen,SD-030,no,0,7,0,5356
MD,Sheila Ruth,D,Rep,HD-044,yes,2,1,0,21541
ME,Norman Higgins,I,Rep,HD-120,no,1,3,1,17441
HI,Suzanne Chun Oakland,D,Sen,SD-013,no,2,0,0,8437
HI,Gary Hooser,D,Sen,SD-007,no,2,0,0,8446
AZ,Jennifer Longdon,D,Rep,HD-005,no,2,0,0,20751
HI,Scott Nishimoto,D,Rep,HD-023,no,2,0,0,8337
HI,Mark Nakashima,D,Rep,HD-001,no,2,0,0,8359
SC,Adam Duncan,R,Rep,HD-002,yes,2,0,0,26246
SC,Phillip Bowers,R,Rep,HD-003,yes,2,0,0,26245
LA,Joseph Lopinto,R,Rep,HD-080,no,1,3,0,5279
ME,Diane Denk,D,Rep,HD-009,no,1,2,1,21199
CT,Devin Carney,R,Rep,HD-023,yes,2,0,0,16432
LA,Stephen Pugh,R,Rep,HD-073,no,1,3,0,5313
SC,Greg Ford,R,Rep,HD-098,yes,2,0,0,26593
SC,Kathy Landing,R,Rep,HD-080,yes,2,0,0,24305
LA,Henry Burns,R,Rep,HD-009,no,1,3,0,5233
LA,Kirk Talbot,R,Sen,SD-010,yes,1,3,0,5263
LA,Frank Howard,R,Rep,HD-024,no,1,3,0,5245
LA,Stephen Carter,R,Rep,HD-068,no,1,3,0,5318
OK,David Bullard,R,Sen,SD-006,yes,2,0,0,19705
US,Derek Kilmer,D,Rep,HD-WA-6,no,2,0,0,15226
OK,Raymond Pruett,D,Rep,HD-019,no,2,0,0,3717
TN,Bryan Richey,R,Rep,HD-020,no,2,0,0,23189
HI,Blake Oshiro,D,Rep,HD-033,no,2,0,0,8367
HI,Dwight Takamine,D,Sen,SD-001,no,2,0,0,8439
SC,Luke Rankin,R,Rep,HD-014,yes,2,0,0,26272
SC,Steven Long,R,Rep,HD-037,yes,2,0,0,18214
US,Alan Lowenthal,D,Rep,HD-CA-47,no,2,0,0,14900
OK,Carri Hicks,D,Sen,SD-040,yes,2,0,0,20813
US,Andrew Garbarino,R,Rep,HD-NY-2,yes,2,0,0,21959
NC,Mary Harrison,D,Rep,HD-061,yes,2,0,0,2077
SC,Paul Wickensimer,R,Rep,HD-022,yes,2,0,0,26261
SC,Blake Sanders,R,Rep,HD-009,yes,2,0,0,26258
AZ,Seth Blattman,D,Rep,HD-009,yes,2,0,0,24247
ME,Harold Stewart,R,Sen,SD-002,yes,0,3,3,18206
AZ,Ken Clark,D,Rep,HD-024,no,2,0,0,16645
OK,Forrest Bennett,D,Rep,HD-092,yes,2,0,0,18986
US,Jared Golden,D,Rep,HD-ME-2,yes,2,0,0,20067
US,John Delaney,D,Rep,HD-MD-6,no,2,0,0,15207
LA,Walt Leger,D,Rep,HD-091,no,1,3,0,5218
MS,Thomas Reynolds,D,Rep,HD-033,no,2,0,0,6575
ME,Donna Bailey,D,Sen,SD-031,yes,0,3,3,18174
LA,Major Thibaut,D,Rep,HD-018,no,1,3,0,5320
MS,Donnie Bell,R,Rep,HD-021,yes,2,0,0,6499
MO,Mark Parkinson,R,Rep,HD-105,no,2,0,0,7607
US,Marie Gluesenkamp Perez,D,Rep,HD-WA-3,yes,2,0,0,24022
AZ,Melody Hernandez,D,Rep,HD-008,no,2,0,0,22440
HI,John Mizuno,D,Rep,HD-029,no,2,0,0,8348
MS,Jody Steverson,R,Rep,HD-004,yes,2,0,0,13802
HI,Ryan Yamane,D,Rep,HD-037,no,2,0,0,8386
ME,Peter Lyford,R,Sen,SD-010,no,0,3,3,17272
HI,Calvin Say,D,Rep,HD-020,no,2,0,0,8378
HI,James Tokioka,D,Rep,HD-015,no,2,0,0,8366
HI,Roy Takumi,D,Rep,HD-035,no,2,0,0,8338
US,Jared Polis,D,Rep,HD-CO-2,no,2,0,0,9110
SC,Marvin Smith,R,Rep,HD-099,yes,2,0,0,21747
LA,Nicholas Lorusso,R,Rep,HD-094,no,1,3,0,5282
ME,Marianne Moore,R,Sen,SD-006,yes,1,1,2,21167
MT,Steve Fitzpatrick,R,Rep,HD-024,yes,0,5,1,10396
SC,Gil Gatch,R,Rep,HD-094,yes,2,0,0,21744
ME,Craig Hickman,D,Sen,SD-014,yes,0,2,4,14720
MS,Joe Warren,D,Rep,HD-090,no,2,0,0,6544
ME,Anne-Marie Mastraccio,D,Rep,HD-142,yes,1,1,2,15729
IL,Sara Jimenez,R,Rep,HD-099,no,2,0,0,17730
AZ,Sean Bowie,D,Sen,SD-018,no,2,0,0,18771
NE,Al Davis,N,Sen,SD-043,no,2,0,0,15142
ME,Matthew Harrington,R,Sen,SD-033,yes,0,5,1,17788
LA,Frank Hoffmann,R,Rep,HD-015,no,1,3,0,5225
LA,Noble Ellington,D,Rep,HD-020,no,1,3,0,5331
ME,Teresa Pierce,D,Sen,SD-025,yes,0,3,3,17216
HI,Marcus Oshiro,D,Rep,HD-046,no,2,0,0,8344
VA,Ibraheem Samirah,D,Rep,HD-086,no,2,0,0,21259
VA,Patrick Hope,D,Rep,HD-001,yes,2,0,0,1472
AZ,Stephanie Stahl Hamilton,D,Rep,HD-021,yes,2,0,0,22293
HI,Isaac Choy,D,Rep,HD-023,no,2,0,0,8345
HI,Joseph Souki,D,Rep,HD-008,no,2,0,0,8360
HI,Ken Ito,D,Rep,HD-049,no,2,0,0,8358
IL,William Black,R,Rep,HD-104,no,2,0,0,1048
IL,Paul Froehlich,D,Rep,HD-056,no,2,0,0,1026
IL,Mike Boland,D,Rep,HD-071,no,2,0,0,1019
ME,Roger Katz,R,Sen,SD-015,no,2,0,0,11890
MT,Mike Cuffe,R,Sen,SD-001,yes,0,6,0,11953
AZ,Steve Gallardo,D,Sen,SD-029,no,2,0,0,10714
NM,Antonio Maestas,D,Sen,SD-026,yes,2,0,0,6133
IL,Kambium Buckner,D,Rep,HD-026,yes,2,0,0,21119
LA,M.J. Smiley,R,Rep,HD-088,no,1,3,0,5252
MA,Demetruis Atsalis,D,Rep,HD-02-BAR,no,2,0,0,2393
NM,Daymon Ely,D,Rep,HD-023,no,2,0,0,18994
HI,Karl Rhoads,D,Sen,SD-013,yes,2,0,0,8346
HI,Kyle Yamashita,D,Rep,HD-012,yes,2,0,0,8365
VA,Kaye Kory,D,Rep,HD-038,no,2,0,0,890
MO,Rick Brattin,R,Sen,SD-031,yes,2,0,0,12944
OK,Tom Gann,R,Rep,HD-008,yes,2,0,0,18987
HI,Gil Keith-agaran,D,Sen,SD-005,no,2,0,0,8385
LA,Walker Hines,D,Rep,HD-095,no,1,2,1,5244
ME,Beth O'Connor,R,Rep,HD-005,no,0,4,1,10363
ME,William Diamond,D,Sen,SD-026,no,1,1,1,8757
MT,Ryan Lynch,D,Sen,SD-037,no,0,0,5,14074
ME,John Martin,D,Rep,HD-151,no,0,3,2,8744
MT,Janet Ellis,D,Sen,SD-041,yes,0,1,4,16355
ME,Lester Ordway,R,Rep,HD-023,no,0,3,2,17789
MT,Dennis Lenz,R,Sen,SD-027,yes,0,5,0,14338
MT,Shelley Vance,R,Sen,SD-034,yes,0,5,0,23607
ME,Ryan Fecteau,D,Rep,HD-132,yes,0,3,2,16635
SD,Daniel Lederman,R,Sen,SD-016,no,1,2,0,8214
ME,Michael Perkins,R,Rep,HD-077,no,0,4,1,18199
ME,Dwayne Prescott,R,Rep,HD-017,no,0,3,2,17336
ME,Kimberley Rosen,R,Sen,SD-008,no,1,1,1,8893
ME,Joel Stetkis,R,Rep,HD-105,no,0,3,2,17337
KY,Robert Mills,R,Sen,SD-004,yes,1,2,0,18339
ME,Anne Carney,D,Sen,SD-029,yes,0,3,2,21194
ME,Heidi Sampson,R,Rep,HD-136,no,0,4,1,18201
ME,Ralph Tucker,D,Rep,HD-050,no,0,4,1,17108
ME,Chris Johansen,R,Rep,HD-145,no,0,2,3,18190
ME,Lois Galgay Reckitt,D,Rep,HD-122,no,0,3,2,18186
SD,Ried Holien,R,Sen,SD-005,no,1,1,1,11490
UT,Todd Weiler,R,Sen,SD-008,yes,1,2,0,13816
ME,William Tuell,R,Rep,HD-010,yes,0,4,1,16786
ME,Rachel Talbot Ross,D,Sen,SD-028,yes,0,2,3,18210
MT,Mike Lang,R,Sen,SD-017,no,0,5,0,14336
MT,Ellie Boldman,D,Sen,SD-045,yes,0,0,5,12051
ME,Colleen Madigan,D,Rep,HD-064,no,0,3,2,18193
ME,Anne Perry,D,Rep,HD-009,no,0,4,1,8879
MT,Daniel Salomon,R,Sen,SD-047,no,0,3,2,10399
MT,Jeffrey Welborn,R,Sen,SD-036,no,0,3,2,14174
LA,Thomas Carmody,R,Rep,HD-006,no,1,2,0,5236
ME,Jessica Fay,D,Rep,HD-086,no,0,2,3,18184
ME,Timothy Theriault,R,Rep,HD-079,no,0,3,2,16785
ME,Stanley Zeigler,D,Rep,HD-040,no,0,2,3,18212
MT,Carl Glimm,R,Sen,SD-002,yes,0,5,0,14331
ME,Lydia Blume,D,Rep,HD-003,no,0,3,2,17533
ME,Christopher Babbidge,D,Rep,HD-008,no,0,4,1,16688
ME,Dustin White,R,Rep,HD-146,no,0,3,2,17341
ME,Jeffery Hanley,R,Rep,HD-087,no,0,3,2,17215
ME,Mark Bryant,D,Rep,HD-024,no,0,2,3,8793
ME,Michelle Dunphy,D,Rep,HD-122,no,0,4,1,17106
ME,Barbara Cardone,D,Rep,HD-127,no,0,1,4,18177
ME,Patrick Corey,R,Rep,HD-025,no,0,4,1,17332
MT,Edith McClafferty,D,Sen,SD-038,no,0,0,5,7921
CO,Lynda Zamora Wilson,R,Sen,SD-009,yes,1,1,1,26492
ME,Maureen Terry,D,Rep,HD-108,no,0,5,0,18211
ME,Pinny Beebe-Center,D,Sen,SD-012,yes,0,1,4,17667
ME,Thomas Skolfield,R,Rep,HD-112,no,0,2,3,17217
ME,Charlotte Warren,D,Rep,HD-084,no,0,3,2,17275
ME,Denise Tepler,D,Sen,SD-024,yes,0,1,4,17107
ME,Bruce Bickford,R,Sen,SD-020,yes,0,4,1,8786
ME,Roland Martin,D,Rep,HD-150,no,0,4,1,16697
LA,Lowell Hazel,R,Rep,HD-027,no,1,2,0,5307
ME,Richard Bradstreet,R,Sen,SD-015,yes,0,3,2,18176
ME,Maryanne Kinney,R,Rep,HD-099,no,0,3,2,16877
